JW_ID,Entry,Protein names,Length,Gene Names (primary),AlphaFoldDB,PDB
JW0022,P0A7U7,Small ribosomal subunit protein bS20 (30S ribosomal protein S20),87,rpsT,P0A7U7;,2YKR;3J9Y;3J9Z;3JA1;3JBU;3JBV;3JCD;3JCE;3JCJ;3JCN;4A2I;4ADV;4U1U;4U1V;4U20;4U24;4U25;4U26;4U27;4V47;4V48;4V4H;4V4Q;4V4V;4V4W;4V50;4V52;4V53;4V54;4V55;4V56;4V57;4V5B;4V5H;4V5Y;4V64;4V65;4V66;4V69;4V6C;4V6D;4V6E;4V6K;4V6L;4V6M;4V6N;4V6O;4V6P;4V6Q;4V6R;4V6S;4V6T;4V6V;4V6Y;4V6Z;4V70;4V71;4V72;4V73;4V74;4V75;4V76;4V77;4V78;4V79;4V7A;4V7B;4V7C;4V7D;4V7I;4V7S;4V7T;4V7U;4V7V;4V85;4V89;4V9C;4V9D;4V9O;4V9P;4WF1;4WOI;4WWW;4YBB;5AFI;5H5U;5IQR;5IT8;5J5B;5J7L;5J88;5J8A;5J91;5JC9;5JTE;5JU8;5KCR;5KCS;5KPS;5KPV;5KPW;5KPX;5L3P;5LZA;5LZB;5LZC;5LZD;5LZE;5LZF;5MDV;5MDW;5MDY;5MDZ;5ME0;5ME1;5MGP;5MY1;5NO2;5NO3;5NO4;5NP6;5NWY;5O2R;5U4I;5U9F;5U9G;5UYK;5UYL;5UYM;5UYN;5UYP;5UYQ;5UZ4;5WDT;5WE4;5WE6;5WF0;5WFK;5WFS;6AWB;6AWC;6AWD;6BU8;6BY1;6C4I;6DNC;6ENF;6ENJ;6ENU;6GWT;6GXM;6GXN;6GXO;6GXP;6H4N;6H58;6HRM;6I7V;6NQB;6O7K;6O9J;6O9K;6OFX;6OG7;6OGF;6OGG;6OGI;6OM6;6ORE;6ORL;6OSK;6OSQ;6OST;6OT3;6OUO;6Q97;6Q98;6Q9A;6SZS;6TBV;6TC3;6VU3;6VYQ;6VYR;6VYS;6VYT;6VYU;6VYW;6VYX;6VYY;6VYZ;6VZ2;6VZ3;6VZ5;6VZ7;6VZJ;6W6K;6W77;6W7M;6W7N;6W7W;6WD0;6WD1;6WD2;6WD3;6WD4;6WD5;6WD6;6WD7;6WD8;6WD9;6WDA;6WDB;6WDC;6WDD;6WDE;6WDF;6WDG;6WDH;6WDI;6WDJ;6WDK;6WDL;6WDM;6WNV;6WNW;6X6T;6X7F;6X7K;6X9Q;6XDQ;6XDR;6XE0;6XGF;6XII;6XIJ;6XZA;6XZB;6Y69;6ZTJ;6ZTL;6ZTM;6ZTN;6ZTO;6ZTP;6ZU1;7ABZ;7AC7;7ACJ;7ACR;7AFI;7AFL;7AFO;7B5K;7BOD;7BOE;7BOF;7BOG;7BOH;7BOI;7D6Z;7D80;7JSS;7JSW;7JSZ;7JT1;7JT2;7JT3;7K00;7K50;7K51;7K52;7K53;7K54;7K55;7LV0;7M5D;7N1P;7N2C;7N2U;7N2V;7N30;7N31;7NAR;7NAS;7NAT;7NAU;7NAV;7NAX;7NBU;7O19;7O1A;7O1C;7O5H;7OE0;7OE1;7OI0;7OIZ;7OJ0;7P3K;7PJV;7PJY;7QG8;7QGH;7QGR;7S1G;7S1H;7S1I;7S1J;7S1K;7SA4;7SS9;7SSD;7SSL;7SSN;7SSO;7SSW;7ST2;7ST6;7ST7;7TOS;7UG7;7UPH;7Y7C;7Y7D;7Y7E;7Y7F;7Y7G;7Y7H;7ZTA;8A3L;8AKN;8AM9;8AYE;8B0X;8B7Y;8BF7;8BGE;8BGH;8BH4;8BHJ;8BHL;8BHN;8BHP;8BIL;8BIM;8CAI;8CEP;8CGJ;8CGR;8CGU;8EIU;8EKC;8EMM;8FIZ;8G6W;8GHU;8HSP;8HTZ;8HU1;8IFB;8IFC;8JSG;8JSH;8PEG;8PHJ;8PKL;8PVA;8QBT;8QOA;8R3V;8RCL;8RCM;8RCS;8RCT;
JW0023,P0AG40,Bifunctional riboflavin kinase/FMN adenylyltransferase (Riboflavin biosynthesis protein RibF) [Includes: Riboflavin kinase (EC 2.7.1.26) (Flavokinase); FMN adenylyltransferase (EC 2.7.7.2) (FAD pyrophosphorylase) (FAD synthase)],313,ribF,P0AG40;,
JW0025,P00804,Lipoprotein signal peptidase (EC 3.4.23.36) (Prolipoprotein signal peptidase) (Signal peptidase II) (SPase II),164,lspA,P00804;,
JW0026,P0AEM0,FKBP-type 16 kDa peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8) (Rotamase),149,fkpB,P0AEM0;,2M2A;4DT4;5I7Q;
JW0027,P62623,4-hydroxy-3-methylbut-2-enyl diphosphate reductase (HMBPP reductase) (EC 1.17.7.4) (1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase),316,ispH,P62623;,3F7T;3KE8;3KE9;3KEF;3KEL;3KEM;3SZL;3SZO;3SZU;3T0F;3T0G;3URK;3UTC;3UTD;3UV3;3UV6;3UV7;3UWM;3ZGL;3ZGN;4EB3;4H4C;4H4D;4H4E;
JW0028,P22564,Non-specific ribonucleoside hydrolase RihC (EC 3.2.-.-) (Purine/pyrimidine ribonucleoside hydrolase),304,rihC,P22564;,
JW0029,P04036,4-hydroxy-tetrahydrodipicolinate reductase (HTPA reductase) (EC 1.17.1.8),273,dapB,P04036;,1ARZ;1DIH;1DRU;1DRV;1DRW;
JW0030,P0A6F1,Carbamoyl phosphate synthase small chain (EC 6.3.5.5) (Carbamoyl phosphate synthetase glutamine chain),382,carA,P0A6F1;,1A9X;1BXR;1C30;1C3O;1CE8;1CS0;1JDB;1KEE;1M6V;1T36;
JW0033,P0AE58,Transcriptional activatory protein CaiF,131,caiF,P0AE58;,
JW5004,P39206,Carnitine operon protein CaiE,196,caiE,P39206;,
JW0035,P31551,Carnitinyl-CoA dehydratase (EC 4.2.1.149) (Crotonobetainyl-CoA hydratase),261,caiD,P31551;,
JW0037,P31572,L-carnitine CoA-transferase (EC 2.8.3.21) (Crotonobetainyl-CoA:carnitine CoA-transferase),405,caiB,P31572;,1XA3;1XA4;1XK6;1XK7;1XVT;1XVU;1XVV;
JW0038,P60584,Crotonobetainyl-CoA reductase (EC 1.3.8.13) (Crotobetaine reductase) (Crotonobetainyl-CoA dehydrogenase),380,caiA,P60584;,
JW0040,P60566,Protein FixA,256,fixA,P60566;,
JW0041,P31574,Protein FixB,313,fixB,P31574;,
JW0042,P68644,Protein FixC,428,fixC,P68644;,
JW0043,P68646,Ferredoxin-like protein FixX,95,fixX,P68646;,
JW0045,P0A754,Glutathione-regulated potassium-efflux system ancillary protein KefF (Quinone oxidoreductase KefF) (EC 1.6.5.2),176,kefF,P0A754;,3EYW;3L9W;3L9X;
JW0047,P0ABQ4,Dihydrofolate reductase (EC 1.5.1.3),159,folA,P0ABQ4;,1DDR;1DDS;1DHI;1DHJ;1DRA;1DRB;1DRE;1DRH;1DYH;1DYI;1DYJ;1JOL;1JOM;1RA1;1RA2;1RA3;1RA8;1RA9;1RB2;1RB3;1RC4;1RD7;1RE7;1RF7;1RG7;1RH3;1RX1;1RX2;1RX3;1RX4;1RX5;1RX6;1RX7;1RX8;1RX9;1TDR;2ANO;2ANQ;2D0K;2DRC;2INQ;3DAU;3DRC;3K74;3KFY;3OCH;3QL3;3QYL;3QYO;3R33;4DFR;4EIG;4EIZ;4EJ1;4FHB;4GH8;4I13;4I1N;4KJJ;4KJK;4KJL;4NX6;4NX7;4PDJ;4X5F;4X5G;4X5H;4X5I;4X5J;5CC9;5CCC;5DFR;5E8Q;5EAJ;5SSS;5SST;5SSU;5SSV;5SSW;5UIH;5UII;5UIO;5UIP;5UJX;5W3Q;5Z6F;5Z6J;5Z6K;5Z6L;5Z6M;6CQA;6CW7;6CXK;6CYV;6DFR;6MR9;6MT8;6MTH;6RUL;6RUM;6XG4;6XG5;7D3Z;7D49;7D4L;7D4X;7D6G;7DFR;7F3B;7FPL;7FPM;7FPN;7FPO;7FPP;7FPQ;7FPR;7FPS;7FPT;7FPU;7FPV;7FPW;7FPX;7FPY;7FPZ;7FQ0;7FQ1;7FQ2;7FQ3;7FQ4;7FQ5;7FQ6;7FQ7;7FQ8;7FQ9;7FQA;7FQB;7FQC;7FQD;7FQE;7FQF;7FQG;7LVC;7MQP;7MYM;7NAE;7REB;8DAI;8G4Z;8G50;8HCO;8VZ4;
JW0048,P05637,"Bis(5'-nucleosyl)-tetraphosphatase [symmetrical] (EC 3.6.1.41) (Ap4A hydrolase) (Diadenosine 5',5'''-P1,P4-tetraphosphate pyrophosphohydrolase) (Diadenosine tetraphosphatase)",280,apaH,P05637;,
JW0049,P62672,Protein ApaG,125,apaG,P62672;,
JW0051,P19624,4-hydroxythreonine-4-phosphate dehydrogenase (EC 1.1.1.262) (4-(phosphohydroxy)-L-threonine dehydrogenase),329,pdxA,P19624;,1PS6;1PS7;1PTM;
JW0052,P0ABZ6,Chaperone SurA (Peptidyl-prolyl cis-trans isomerase SurA) (PPIase SurA) (EC 5.2.1.8) (Rotamase SurA) (Survival protein A),428,surA,P0ABZ6;,1M5Y;2PV1;2PV2;2PV3;
JW0054,P31680,Co-chaperone protein DjlA (DnaJ-like protein DjlA),271,djlA,P31680;,
JW0055,P39220,Protein YabP,216,yabP,P39220;,
JW0057,P0AA37,Dual-specificity RNA pseudouridine synthase RluA (EC 5.4.99.28) (EC 5.4.99.29) (23S rRNA pseudouridine(746) synthase) (Ribosomal large subunit pseudouridine synthase A) (rRNA pseudouridylate synthase A) (rRNA-uridine isomerase A) (tRNA pseudouridine(32) synthase),219,rluA,P0AA37;,2I82;
JW0058,P60240,RNA polymerase-associated protein RapA (EC 3.6.4.-) (ATP-dependent helicase HepA),968,rapA,P60240;,4S20;6BOG;7M8E;7MKN;7MKQ;
JW0060,P08203,L-ribulose-5-phosphate 4-epimerase AraD (EC 5.1.3.4) (Phosphoribulose isomerase),231,araD,P08203;,1JDI;1K0W;
JW0061,P08202,L-arabinose isomerase (EC 5.3.1.4),500,araA,P08202;,2AJT;2HXG;4F2D;7CHL;7CXO;
JW0062,P08204,Ribulokinase (EC 2.7.1.16),566,araB,P08204;,
JW0063,P0A9E0,Arabinose operon regulatory protein (HTH-type transcriptional regulator AraC),292,araC,P0A9E0;,1XJA;2AAC;2ARA;2ARC;2K9S;
JW5005,P30149,Inner membrane protein YabI,254,yabI,P30149;,
JW0065,P31548,Thiamine import ATP-binding protein ThiQ (EC 7.6.2.15),232,thiQ,P31548;,
JW0066,P31549,Thiamine transport system permease protein ThiP,536,thiP,P31549;,
JW0067,P31550,Thiamine-binding periplasmic protein,327,thiB,P31550;,2QRY;
JW0068,P33595,HTH-type transcriptional regulator SgrR,551,sgrR,P33595;,
JW0070,P30126,3-isopropylmalate dehydratase small subunit (EC 4.2.1.33) (Alpha-IPM isomerase) (IPMI) (Isopropylmalate isomerase),201,leuD,P30126;,
JW0071,P0A6A6,3-isopropylmalate dehydratase large subunit (EC 4.2.1.33) (Alpha-IPM isomerase) (IPMI) (Isopropylmalate isomerase),466,leuC,P0A6A6;,
JW5807,P30125,3-isopropylmalate dehydrogenase (EC 1.1.1.85) (3-IPM-DH) (Beta-IPM dehydrogenase) (IMDH),363,leuB,P30125;,1CM7;
JW0073,P09151,2-isopropylmalate synthase (EC 2.3.3.13) (Alpha-IPM synthase) (Alpha-isopropylmalate synthase),523,leuA,P09151;,
JW0075,P10151,HTH-type transcriptional regulator LeuO,314,leuO,P10151;,6GZ0;6GZ1;6GZ2;
JW0076,P00893,Acetolactate synthase isozyme 3 large subunit (EC 2.2.1.6) (AHAS-III) (ALS-III) (Acetohydroxy-acid synthase III large subunit),574,ilvI,P00893;,
JW0077,P00894,Acetolactate synthase isozyme 3 small subunit (EC 2.2.1.6) (ALS-III) (Acetohydroxy-acid synthase III small subunit) (AHAS-III),163,ilvH,P00894;,2F1F;
JW0079,P22186,Transcriptional regulator MraZ,152,mraZ,P22186;,
JW0080,P60390,Ribosomal RNA small subunit methyltransferase H (EC 2.1.1.199) (16S rRNA m(4)C1402 methyltransferase) (rRNA (cytosine-N(4)-)-methyltransferase RsmH),313,rsmH,P60390;,3TKA;
JW0081,P0AEN4,Cell division protein FtsL,121,ftsL,P0AEN4;,8HHF;8HHG;8HHH;
JW0082,P0AD68,"Peptidoglycan D,D-transpeptidase FtsI (EC 3.4.16.4) (Essential cell division protein FtsI) (Murein transpeptidase) (Penicillin-binding protein 3) (PBP-3) (Peptidoglycan synthase FtsI)",588,ftsI,P0AD68;,6HZQ;6I1I;7ONW;8RTZ;
JW0083,P22188,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13) (Meso-A2pm-adding enzyme) (Meso-diaminopimelate-adding enzyme) (UDP-MurNAc-L-Ala-D-Glu:meso-diaminopimelate ligase) (UDP-MurNAc-tripeptide synthetase) (UDP-N-acetylmuramyl-tripeptide synthetase)",495,murE,P22188;,1E8C;7B53;7B60;7B61;7B68;7B6I;7B6J;7B6K;7B6L;7B6M;7B6N;7B6O;7B6P;7B6Q;7B9E;7B9W;
JW0084,P11880,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase (EC 6.3.2.10) (D-alanyl-D-alanine-adding enzyme) (UDP-MurNAc-pentapeptide synthetase),452,murF,P11880;,1GG4;
JW0086,P14900,UDP-N-acetylmuramoylalanine--D-glutamate ligase (EC 6.3.2.9) (D-glutamic acid-adding enzyme) (UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase),438,murD,P14900;,1E0D;1EEH;1UAG;2JFF;2JFG;2JFH;2UAG;2UUO;2UUP;2VTD;2VTE;2WJP;2X5O;2XPC;2Y1O;2Y66;2Y67;2Y68;3UAG;4UAG;5A5E;5A5F;8V8W;8V8X;8V8Y;8VW0;8VW1;8VW2;
JW0088,P17443,UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227) (Undecaprenyl-PP-MurNAc-pentapeptide-UDPGlcNAc GlcNAc transferase),355,murG,P17443;,1F0K;1NLM;
JW0089,P17952,UDP-N-acetylmuramate--L-alanine ligase (EC 6.3.2.8) (UDP-N-acetylmuramoyl-L-alanine synthetase),491,murC,P17952;,2F00;
JW0090,P07862,D-alanine--D-alanine ligase B (EC 6.3.2.4) (D-Ala-D-Ala ligase B) (D-alanylalanine synthetase B),306,ddlB,P07862;,1IOV;1IOW;2DLN;4C5A;4C5B;4C5C;
JW0091,P06136,Cell division protein FtsQ,276,ftsQ,P06136;,2VH1;4UE4;4V6M;5Z2W;6H9N;6H9O;8HHF;8HHG;8HHH;
JW0092,P0ABH0,Cell division protein FtsA,420,ftsA,P0ABH0;,7Q6D;
JW0093,P0A9A6,Cell division protein FtsZ,383,ftsZ,P0A9A6;,1F47;5HAW;5HBU;5HSZ;5K58;5KOA;6LL6;6UMK;6UNX;8GZX;8GZY;
JW0094,P0A725,UDP-3-O-acyl-N-acetylglucosamine deacetylase (UDP-3-O-acyl-GlcNAc deacetylase) (EC 3.5.1.108) (Protein EnvA) (UDP-3-O-[R-3-hydroxymyristoyl]-N-acetylglucosamine deacetylase),305,lpxC,P0A725;,4IS9;4ISA;4MDT;4MQY;7PHJ;
JW0096,P10408,Protein translocase subunit SecA (EC 7.4.2.8),901,secA,P10408;,1TM6;2FSF;2FSG;2FSH;2FSI;2VDA;3BXZ;5K94;5K9T;6GOX;
JW0097,P08337,"8-oxo-dGTP diphosphatase (8-oxo-dGTPase) (EC 3.6.1.55) (7,8-dihydro-8-oxoguanine-triphosphatase) (Mutator protein MutT) (dGTP pyrophosphohydrolase)",129,mutT,P08337;,1MUT;1PPX;1PUN;1PUQ;1PUS;1TUM;3A6S;3A6T;3A6U;3A6V;7WW5;7WW6;7WW7;7WW8;7WW9;7WWA;7X9H;7X9I;7X9J;7X9K;7X9L;7X9N;7X9O;
JW5008,P0A8H8,DNA gyrase inhibitor YacG,65,yacG,P0A8H8;,1LV3;4TMA;
JW0099,P36680,Cell division protein ZapD (Z ring-associated protein D),247,zapD,P36680;,5DKO;5IMJ;5KOA;
JW0100,P0A6I9,Dephospho-CoA kinase (EC 2.7.1.24) (Dephosphocoenzyme A kinase),206,coaE,P0A6I9;,1N3B;1T3H;1VHL;1VHT;1VIY;6ARI;
JW0103,P36645,Protein transport protein HofB homolog,461,hofB,P36645;,
JW0104,P36647,Prepilin peptidase-dependent protein D,146,ppdD,P36647;,
JW0106,P13016,"1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD (EC 3.5.1.28) (N-acetylmuramoyl-L-alanine amidase)",183,ampD,P13016;,
JW0107,P0AE14,Protein AmpE,284,ampE,P0AE14;,
JW0109,P0ACL9,Pyruvate dehydrogenase complex repressor,254,pdhR,P0ACL9;,5KVR;5TPM;
JW0110,P0AFG8,Pyruvate dehydrogenase E1 component (PDH E1 component) (EC 1.2.4.1),887,aceE,P0AFG8;,1L8A;1RP7;2G25;2G28;2G67;2IEA;2QTA;2QTC;
JW0111,P06959,Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12) (Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex) (E2),630,aceF,P06959;,1QJO;2K7V;7B9K;8OQJ;8ORB;8OSY;
JW0112,P0A9P0,Dihydrolipoyl dehydrogenase (EC 1.8.1.4) (Dihydrolipoamide dehydrogenase) (E3 component of pyruvate and 2-oxoglutarate dehydrogenases complexes) (Glycine cleavage system L protein),474,lpdA,P0A9P0;,4JDR;
JW0113,P36682,Uncharacterized protein YacH,617,yacH,P36682;,
JW0114,P36683,"Aconitate hydratase B (ACN) (Aconitase) (EC 4.2.1.3) ((2R,3S)-2-methylisocitrate dehydratase) ((2S,3R)-3-hydroxybutane-1,2,3-tricarboxylate dehydratase) (2-methyl-cis-aconitate hydratase) (EC 4.2.1.99) (Iron-responsive protein-like) (IRP-like) (RNA-binding protein)",865,acnB,P36683;,1L5J;
JW0115,P0A8E5,UPF0231 protein YacL,120,yacL,P0A8E5;,
JW0116,P0A7F6,S-adenosylmethionine decarboxylase proenzyme (AdoMetDC) (SAMDC) (EC 4.1.1.50) [Cleaved into: S-adenosylmethionine decarboxylase beta chain; S-adenosylmethionine decarboxylase alpha chain],264,speD,P0A7F6;,
JW0117,P09158,Polyamine aminopropyltransferase (Cadaverine aminopropyltransferase) (EC 2.5.1.-) (Putrescine aminopropyltransferase) (PAPT) (Spermidine aminopropyltransferase) (EC 2.5.1.79) (Spermidine synthase) (SPDS) (SPDSY) (EC 2.5.1.16) (Spermine synthase) (EC 2.5.1.22) (Thermospermine synthase),288,speE,P09158;,3O4F;
JW0118,P0AA95,Uncharacterized protein YacC,115,yacC,P0AA95;,
JW0119,P36649,Multicopper oxidase CueO (MCO) (EC 1.16.3.4) (Blue copper oxidase CueO) (Copper efflux oxidase) (Cu efflux oxidase) (Cuprous oxidase),516,cueO,P36649;,1KV7;1N68;1PF3;2FQD;2FQE;2FQF;2FQG;2YXV;2YXW;3NSC;3NSD;3NSF;3NSY;3NT0;3OD3;3PAU;3PAV;3QQX;3UAA;3UAB;3UAC;3UAD;3UAE;4E9Q;4E9R;4E9S;4E9T;4EF3;4HAK;4HAL;4NER;5B7E;5B7F;5B7M;5YS1;5YS5;6IM7;6IM8;6IM9;7F0V;7F19;
JW0120,P15877,Quinoprotein glucose dehydrogenase (EC 1.1.5.2) (Glucose dehydrogenase [pyrroloquinoline-quinone]),796,gcd,P15877;,
JW5011,P37025,"RNA 2',3'-cyclic phosphodiesterase (RNA 2',3'-CPDase) (EC 3.1.4.58) (Two-histidine 2',3'-cyclic phosphodiesterase acting on RNA)",176,thpR,P37025;,4QAK;
JW0122,P61517,Carbonic anhydrase 2 (EC 4.2.1.1) (Carbonate dehydratase 2),220,can,P61517;,1I6O;1I6P;1T75;2ESF;7SEV;
JW0123,P36879,Uncharacterized ABC transporter ATP-binding protein YadG,308,yadG,P36879;,
JW0124,P0AFN6,Inner membrane transport permease YadH,256,yadH,P0AFN6;,
JW0125,P36881,Putative phosphotransferase enzyme IIA component YadI (Putative PTS system EIIA component),146,yadI,P36881;,
JW0126,P31666,Uncharacterized protein YadE,409,yadE,P31666;,
JW0127,P0A790,Aspartate 1-decarboxylase (EC 4.1.1.11) (Aspartate alpha-decarboxylase) [Cleaved into: Aspartate 1-decarboxylase beta chain; Aspartate 1-decarboxylase alpha chain],126,panD,P0A790;,1AW8;1PPY;1PQE;1PQF;1PQH;1PT0;1PT1;1PYQ;1PYU;3TM7;4AOK;4AON;4AZD;4CRY;4CRZ;4CS0;4D7Z;5LS7;
JW5010,P31665,Recombination-promoting nuclease RpnC (EC 3.1.21.-),300,rpnC,P31665;,
JW0129,P31663,Pantothenate synthetase (PS) (EC 6.3.2.1) (Pantoate--beta-alanine ligase) (Pantoate-activating enzyme),283,panC,P31663;,1IHO;3GUZ;
JW0130,P31057,3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11) (Ketopantoate hydroxymethyltransferase) (KPHMT),264,panB,P31057;,1M3U;
JW0131,P31058,Uncharacterized fimbrial-like protein YadC,412,yadC,P31058;,
JW0132,P37016,Uncharacterized fimbrial-like protein YadK,198,yadK,P37016;,
JW0133,P37017,Uncharacterized fimbrial-like protein YadL,201,yadL,P37017;,
JW0134,P37018,Uncharacterized fimbrial-like protein YadM,189,yadM,P37018;,
JW0135,P33129,Outer membrane usher protein HtrE (Heat shock protein E),865,htrE,P33129;,
JW0137,P37050,Uncharacterized fimbrial-like protein YadN,194,yadN,P37050;,
JW0138,P26281,"2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (EC 2.7.6.3) (6-hydroxymethyl-7,8-dihydropterin pyrophosphokinase) (PPPK) (7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase) (HPPK)",159,folK,P26281;,1DY3;1EQ0;1EQM;1EX8;1F9H;1G4C;1HKA;1HQ2;1IM6;1KBR;1Q0N;1RAO;1RB0;1RTZ;1RU1;1RU2;1TMJ;1TMM;2F63;2F65;3HCX;3HD1;3HD2;3HSD;3HSG;3HSJ;3HSZ;3HT0;3ILI;3ILJ;3ILL;3ILO;3IP0;3KUE;3KUG;3KUH;3UD5;3UDE;3UDV;4F7V;4M5G;4M5H;4M5I;4M5J;4M5K;4M5L;4M5M;4M5N;5ETK;5ETL;5ETM;5ETN;5ETO;5ETP;6AN4;6AN6;7KDO;7KDR;
JW5808,P0ABF1,Poly(A) polymerase I (PAP I) (EC 2.7.7.19) (Plasmid copy number protein),465,pcnB,P0ABF1;,
JW0141,P0ABS1,RNA polymerase-binding transcription factor DksA (DnaK suppressor protein),151,dksA,P0ABS1;,1TJL;5VSW;5W1T;7KHE;7KHI;
JW0142,P0A823,Sugar fermentation stimulation protein A,234,sfsA,P0A823;,4DAP;
JW0144,P37024,ATP-dependent RNA helicase HrpB (EC 3.6.4.13),809,hrpB,P37024;,6EUD;6HEG;
JW0146,P06971,Ferrichrome outer membrane transporter/phage receptor (Ferric hydroxamate receptor) (Ferric hydroxamate uptake) (Ferrichrome-iron receptor),747,fhuA,P06971;,1BY3;1BY5;1FCP;1FI1;1QFF;1QFG;1QJQ;1QKC;2FCP;2GRX;4CU4;8A60;8A8C;8B14;
JW0147,P07821,Iron(3+)-hydroxamate import ATP-binding protein FhuC (EC 7.2.2.16) (Ferric hydroxamate uptake protein C) (Ferrichrome transport ATP-binding protein FhuC) (Iron(III)-hydroxamate import ATP-binding protein FhuC),265,fhuC,P07821;,7LB8;
JW0150,P23893,"Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)",426,hemL,P23893;,
JW5012,P37019,H(+)/Cl(-) exchange transporter ClcA (ClC-ec1),473,clcA,P37019;,1KPK;1OTS;1OTT;1OTU;2EXW;2EXY;2EZ0;2FEC;2FED;2FEE;2H2P;2H2S;2HLF;2HT2;2HT3;2HT4;2HTK;2HTL;2R9H;3DET;3EJY;3EJZ;3NMO;4ENE;4KJP;4KJQ;4KJW;4KK5;4KK6;4KK8;4KK9;4KKA;4KKB;4KKC;4KKL;4LOU;4MQX;5HD8;6AD7;6AD8;6ADA;6ADB;6ADC;6K5D;6K5F;6LSC;6V2J;7CVS;7CVT;7N8P;7N9W;7RNX;7RO0;7RP5;7RP6;7RQ7;7RSB;
JW0152,P0ACC3,Iron-sulfur cluster insertion protein ErpA,114,erpA,P0ACC3;,
JW0155,P0AF12,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase (MTA/SAH nucleosidase) (MTAN) (EC 3.2.2.9) (5'-deoxyadenosine nucleosidase) (DOA nucleosidase) (dAdo nucleosidase) (5'-methylthioadenosine nucleosidase) (MTA nucleosidase) (S-adenosylhomocysteine nucleosidase) (AdoHcy nucleosidase) (SAH nucleosidase) (SRH nucleosidase),232,mtnN,P0AF12;,1JYS;1NC1;1NC3;1Y6Q;1Y6R;1Z5N;1Z5O;1Z5P;3O4V;4WKC;4YML;
JW0156,P15723,Deoxyguanosinetriphosphate triphosphohydrolase (dGTP triphosphohydrolase) (dGTPase) (EC 3.1.5.1),505,dgt,P15723;,4X9E;4XDS;6OI7;6OIV;6OIW;6OIX;6OIY;7U65;7U66;7U67;
