Genes,Uniprot_ID,Sol
yahD,P77736,0.33
yahE,P77297,0.06
yahG,P77221,0.31
yahI,P77624,0.83
yahJ,P77554,0.12
yahK,P75691,0.74
yahN,P75693,0.45
yahO,P75694,0.86
prpR,P77743,0.15
prpB,P77541,0.34
prpC,P31660,0.93
prpD,P77243,0.1
prpE,P77495,0.14
codA,P25524,0.11
cynT,P0ABE9,0.47
cynS,P00816,0.52
lacZ,P00722,0.42
lacI,P03023,0.32
mhpR,P77569,0.05
mhpA,P77397,0.07
mhpB,P0ABR9,0.08
mhpC,P77044,0.17
mhpD,P77608,0.75
mhpF,P77580,0.58
mhpE,P51020,0.1
yaiL,P51024,0.81
frmB,P51025,0.06
frmA,P25437,0.71
frmR,P0AAP3,0.92
yaiO,Q47534,0.06
yaiX,P75697,0.37
yaiP,Q47536,0.39
yaiS,P71311,0.88
tauB,Q47538,0.1
tauC,Q47539,0.1
tauD,P37610,0.39
hemB,P0ACB2,0.07
yaiT,P77199,0.55
yaiV,P0AAP5,0.52
ampH,P0AD70,0.41
yaiW,P77562,0.1
yaiY,P0AAP7,0.4
yaiZ,P0AAQ0,0.72
ddlA,P0A6J8,0.92
yaiB,P0AAN9,0.84
phoA,P00634,0.78
psiF,P0AFM4,0.44
yaiC,P0AAP1,0.23
proC,P0A9L8,1.0
yaiI,P0A8D3,0.8
aroL,P0A6E1,0.91
aroM,P0AE28,1.09
yaiE,P0C037,1.07
ykiA,P75704,1.13
rdgC,P36767,0.8
mak,P23917,0.09
sbcC,P13458,0.12
phoR,P08400,0.13
malZ,P21517,0.15
yajB,P21515,0.14
queA,P0A7F9,0.89
tgt,P0A847,0.17
yajC,P0ADZ7,0.41
secD,P0AG90,0.36
yajD,P0AAQ2,1.08
tsx,P0A927,0.0
yajI,P46122,0.88
ybaD,P0A8D0,1.07
ribD,P25539,0.36
nusB,P0A780,0.97
thiL,P0AGG0,0.8
pgpA,P18200,0.23
yajO,P77735,0.05
dxs,P77488,0.22
ispA,P22939,0.85
yajL,Q46948,0.56
yajQ,P0A8E7,0.97
panE,P0A9J4,0.31
cyoA,P0ABJ1,0.19
bolA,P0ABE2,0.81
tig,P0A850,0.88
clpX,P0A6H1,0.7
lon,P0A9M0,0.82
ppiD,P0ADY1,0.53
ybaX,P77756,1.05
ybaE,P46890,0.07
cof,P46891,0.32
ybaO,P0ACJ5,0.17
mdlB,P0AAG5,0.07
glnK,P0AC55,0.41
tesB,P0AGG2,0.24
ybaZ,P0AFP2,0.94
ybaA,P0AAQ6,1.05
ylaB,P77473,0.09
ylaC,P0AAS0,0.61
maa,P77791,0.2
hha,P0ACE3,0.99
ybaJ,P0AAR0,0.76
acrA,P0AE06,0.65
acrR,P0ACS9,0.52
priC,P23862,0.78
ybaN,P0AAR5,0.16
apt,P69503,0.89
ybaB,P0A8B5,0.83
recR,P0A7H6,0.84
htpG,P0A6Z3,1.09
adk,P69441,1.05
hemH,P23871,0.16
aes,P23872,0.34
gsk,P0AEW6,0.85
ybaL,P39830,0.37
ushA,P07024,0.77
ybaK,P0AAR3,1.0
ybaP,P77301,0.43
ybaQ,P0A9T6,0.81
copA,Q59385,0.21
ybaS,P77454,0.56
cueR,P0A9G4,0.66
ybbJ,P0AAS3,0.12
ybbK,P0AA53,0.14
ybbL,P77279,0.43
ybbM,P77307,0.27
ybbN,P77395,0.75
ybbA,P0A9T8,1.03
tesA,P0ADA1,0.41
ybbP,P77504,0.76
ybbC,P33668,0.49
ylbH,P77759,0.23
ybbD,P33669,0.46
ybbB,P33667,0.07
ybbS,P0ACR0,0.03
allA,P77731,0.96
allR,P0ACN4,0.2
gcl,P0AEP7,0.05
hyi,P30147,0.23
glxR,P77161,0.72
allB,P77671,1.07
glxK,P77364,0.74
allC,P77425,0.25
allD,P77555,0.26
fdrA,Q47208,0.57
ylbF,P0AAS5,0.1
ybcF,P37306,0.16
purK,P09029,0.42
purE,P0AG18,1.05
lpxH,P43341,0.21
ppiB,P23869,0.64
cysS,P21888,0.4
ybcI,P45570,0.05
folD,P24186,0.44
sfmA,P0ABW5,0.83
sfmC,P77249,0.28
sfmH,P75715,0.17
sfmF,P38052,0.65
fimZ,P0AEL8,0.32
intD,P24218,0.28
ybcC,P75717,0.07
emrE,P23895,0.07
ybcK,P77698,0.12
ybcL,P77368,0.49
ybcN,Q47269,0.65
ybcO,P68661,0.98
rusA,P0AG74,0.76
ybcQ,Q47274,0.27
nmpC,P21420,0.11
essD,P0A9R2,0.15
borD,P77330,0.33
nohB,P31062,0.4
tfaD,P77699,0.87
ompT,P09169,0.04
envY,P10805,0.25
ybcH,P37325,0.27
nfrA,P31600,0.04
nfrB,P0AFA5,0.07
cusS,P77485,0.16
cusR,P0ACZ8,0.79
cusC,P77211,0.28
cusB,P77239,0.56
ybdG,P0AAT4,0.11
nfnB,P38489,0.87
ybdF,P0AAT2,0.7
ybdK,P77213,0.09
hokE,P77091,0.52
ynfO,Q2EES0,0.78
entD,P19925,0.36
fepA,P05825,0.11
fes,P13039,0.1
entF,P11454,0.21
fepE,P26266,0.34
fepC,P23878,0.18
fepB,P0AEL6,0.3
yeiS,P64536,0.57
entC,P0AEJ2,0.44
entE,P10378,0.88
entB,P0ADI4,0.66
entA,P15047,0.63
ybdB,P0A8Y8,0.8
ybdH,P45579,0.16
ybdL,P77806,0.09
ybdM,P77174,0.71
ybdN,P77216,0.19
ybdO,P77746,0.12
dsbG,P77202,0.51
ahpC,P0AE08,0.9
ahpF,P35340,0.76
uspG,P39177,0.86
ybdR,P77316,0.2
rnk,P0AFW4,0.95
rna,P21338,0.32
citG,P77231,0.06
citF,P75726,0.37
citE,P0A9I1,0.21
citD,P69330,0.79
citC,P77390,0.85
citB,P0AEF4,0.88
crcA,P37001,0.09
crcB,P37002,0.2
ybeM,P0DP64,0.18
tatE,P0A843,1.27
lipA,P60716,0.09
ybeF,P30979,0.19
lipB,P60720,0.52
ybeD,P0A8J4,1.0
dacA,P0AEB2,0.08
mrdA,P0AD65,0.08
ybeA,P0A8I8,0.17
ybeB,P0AAT6,0.95
cobC,P52086,0.35
nadD,P0A752,0.89
holA,P28630,0.35
rlpB,P0ADC1,0.81
leuS,P07813,0.93
ybeL,P0AAT9,0.96
ybeQ,P77234,0.27
ybeR,P77627,0.12
djlB,P77381,0.64
ybeT,P77296,0.49
ybeU,P77427,0.12
hscC,P77319,0.74
rihA,P41409,0.81
gltL,P0AAG3,0.43
gltI,P37902,0.94
lnt,P23930,0.03
ybeX,P0AE78,0.97
ybeY,P0A898,1.15
ybeZ,P0A9K3,0.62
yobH,Q2MB16,0.58
ubiF,P75728,0.14
nagD,P0AF24,0.07
nagC,P0AF20,0.38
nagA,P0AF18,0.79
nagB,P0A759,0.28
nagE,P09323,0.02
glnS,P00962,0.3
ybfM,P75733,0.01
ybfN,P75734,0.78
fur,P0A9A9,1.1
fldA,P61949,0.99
ybfE,P0AAU7,1.03
ybfF,P75736,0.33
seqA,P0AFY8,0.13
pgm,P36938,0.73
speF,P24169,0.22
kdpE,P21866,0.78
kdpD,P21865,0.23
kdpC,P03961,0.18
kdpB,P03960,0.08
kdpA,P03959,0.1
kdpF,P36937,0.29
ybfA,P0AAU2,0.13
ybfB,P0AAU5,0.35
ybfO,P77779,0.08
ybfC,P28915,0.48
ybfQ,Q2EEQ8,0.58
ybfL,P75741,0.16
ybfD,P28916,0.23
ybgA,P24252,0.23
phr,P00914,0.02
ybgI,P0AFP6,0.13
ybgJ,P0AAV4,0.19
ybgK,P75745,0.07
ybgL,P75746,0.11
nei,P50465,0.93
ybgO,P75748,0.53
ybgP,P75749,0.19
ybgQ,P75750,0.11
gltA,P0ABH7,0.22
sdhC,P69054,0.43
sdhD,P0AC44,0.44
sdhA,P0AC41,0.1
sdhB,P07014,0.34
sucA,P0AFG3,0.07
sucB,P0AFG6,1.22
sucC,P0A836,0.68
sucD,P0AGE9,0.7
mngA,P54745,0.38
mngB,P54746,0.04
ybgE,P0AAV0,0.27
ybgC,P0A8Z3,0.7
tolQ,P0ABU9,0.09
tolR,P0ABV6,0.24
tolA,P19934,0.51
tolB,P0A855,0.32
pal,P0A912,0.81
ybgF,P45955,0.2
nadA,P11458,0.35
aroG,P0AB91,1.0
gpmA,P62707,1.03
galM,P0A9C3,1.05
galK,P0A6T3,0.8
galT,P09148,0.61
galE,P09147,0.1
modF,P31060,0.34
modE,P0A9G8,1.15
ybhT,P0AAW9,0.29
modA,P37329,0.99
modB,P0AF01,0.2
ybhA,P21829,0.06
ybhE,P52697,0.85
ybhH,P0AAV8,0.7
ybhJ,P75764,0.12
ybhC,P46130,0.71
ybhB,P12994,1.12
bioA,P12995,0.22
bioB,P12996,0.59
bioF,P12998,0.03
bioC,P12999,0.06
bioD,P13000,0.27
uvrB,P0A8F8,0.22
ybhK,P75767,0.3
moaA,P30745,0.05
moaB,P0AEZ9,1.05
moaC,P0A738,0.87
moaE,P30749,0.84
ybhM,P75769,0.67
ybhO,P0AA84,0.27
ybhP,P0AAW1,0.14
ybhS,P0AFQ2,0.08
ybhF,P0A9U1,0.42
ybhG,P75777,0.32
ybiH,P0ACU0,0.97
rhlE,P25888,0.63
ybiA,P30176,0.83
dinG,P27296,0.05
ybiB,P30177,0.08
ybiC,P30178,0.11
ybiI,P41039,1.05
ybiX,P75779,0.12
fiu,P75780,0.11
ybiN,P75782,0.36
ybiO,P75783,0.22
glnQ,P10346,0.97
glnH,P0AEQ3,0.62
dps,P0ABT2,0.44
ompX,P0A917,0.14
ybiP,P75785,0.07
ybiS,P0AAX8,0.41
ybiT,P0A9U3,0.43
ybiU,P75791,0.28
ybiV,P75792,0.77
ybiW,P75793,0.39
ybiY,P75794,0.49
fsaA,P78055,0.15
moeB,P12282,0.78
moeA,P12281,0.65
iaaA,P37595,0.52
yliB,P75797,0.4
yliC,P75798,0.03
yliD,P75799,0.1
yliE,P75800,0.04
yliF,P75801,0.1
yliG,P0AEI4,0.73
yliH,P0AAY1,0.52
yliI,P75804,0.22
yliJ,P0ACA7,0.16
dacC,P08506,0.21
deoR,P0ACK5,0.29
ybjG,P75806,0.09
ybjH,P0AAY4,0.1
ybjI,P75809,0.6
ybjC,P46119,0.46
nfsA,P17117,0.77
rimK,P0C0U4,0.12
ybjN,P0AAY6,0.84
potF,P31133,0.62
potG,P31134,0.11
ybjO,P0AAZ0,0.33
rumB,P75817,0.16
artJ,P30860,0.73
artQ,P0AE34,0.26
artI,P30859,0.77
artP,P0AAF6,0.27
ybjP,P75818,0.7
ybjQ,P0A8C1,0.64
ybjR,P75820,0.19
ybjS,P75821,0.07
ybjT,P75822,0.19
ltaE,P75823,0.1
poxB,P07003,0.2
hcr,P75824,0.46
hcp,P75825,1.09
ybjD,P75828,0.03
ybjX,P75829,0.21
macA,P75830,0.45
macB,P75831,0.17
clpS,P0A8Q6,0.63
clpA,P0ABH9,0.61
infA,P69222,0.94
aat,P0A8P1,0.08
cydC,P23886,0.1
trxB,P0A9P4,1.05
lrp,P0ACJ0,0.37
ftsK,P46889,0.15
lolA,P61316,0.71
ycaJ,P0AAZ4,0.92
serS,P0A8L1,0.28
dmsA,P18775,0.23
dmsB,P18776,0.28
ycaC,P21367,0.51
ycaN,P75836,0.15
ycaK,P43340,0.96
pflA,P0A9N4,0.95
pflB,P09373,0.31
ygaQ,P76616,0.89
ycaP,P75839,0.27
serC,P23721,0.17
aroA,P0A6D3,0.61
ycaL,P43674,0.24
cmk,P0A6I0,0.86
rpsA,P0AG67,0.87
ihfB,P0A6Y1,0.23
msbA,P60752,0.12
lpxK,P27300,0.31
ycaQ,P75843,0.06
kdsB,P04951,1.15
ycbJ,P0AB03,0.23
ycbC,P0AB01,0.25
mukF,P60293,0.76
mukE,P22524,0.86
ycbB,P22525,0.64
ycbK,P0AB06,0.11
ompF,P02931,0.18
asnS,P0A8M0,0.7
pncB,P18133,0.32
pepN,P04825,1.02
ssuB,P0AAI1,0.24
ssuC,P75851,0.07
ssuA,P75853,0.76
ycbQ,P75855,0.86
ycbR,P75856,0.29
ycbS,P75857,0.07
ycbT,P75858,0.32
ycbU,P75859,0.41
ycbV,P75860,0.47
ycbF,P40876,0.19
pyrD,P0A7E1,0.13
ycbW,P75862,0.38
ycbX,P75863,0.35
ycbY,P75864,0.22
ymbA,P0AB10,0.82
fabA,P0A6Q3,0.66
yoeF,Q2EES3,0.14
ycbG,P0A8N0,0.92
ompA,P0A910,0.11
sulA,P0AFZ5,0.61
yccR,P75869,0.33
mgsA,P0A731,1.12
yccT,P0A8X4,0.6
yccU,P75874,1.38
yccX,P0AB65,1.03
yccK,P0AB18,0.81
hyaA,P69739,0.38
hyaB,P0ACD8,0.09
hyaD,P19930,0.74
hyaE,P19931,1.0
hyaF,P19932,0.95
appA,P07102,0.66
yccC,P38134,0.41
etp,P0ACZ2,0.14
yccZ,P0A932,0.6
ymcB,P75883,0.42
ymcC,P75884,0.37
ymcD,P75885,1.14
ygeO,Q46795,0.1
cspH,P0A982,1.03
ymcE,P0AAA5,1.0
yccM,P52636,0.13
torS,P39453,0.13
torT,P38683,0.13
torR,P38684,0.78
torC,P33226,0.43
torA,P33225,0.09
torD,P36662,1.33
cbpM,P63264,0.36
cbpA,P36659,0.61
yccE,P36661,0.48
agp,P19926,0.62
wrbA,P0A8G6,0.77
ymdF,P56614,0.91
ycdH,P75893,0.16
ycdI,P75894,0.1
rarA,P75895,0.17
ycdK,P0AFQ5,0.38
ycdL,P75897,0.47
ycdM,P75898,0.26
ycdC,P0ACU2,0.8
ycdO,P0AB24,0.43
ycdB,P31545,0.34
phoH,P0A9K1,0.21
ycdP,P69432,0.1
ycdQ,P75905,0.18
ygeM,Q46793,0.72
ycdR,P75906,0.15
ycdS,P69434,0.07
ymdE,Q7DFV4,0.21
ycdW,P75913,0.31
ycdX,P75914,1.0
ycdY,P75915,0.9
csgG,P0AEA2,0.44
csgF,P0AE98,0.3
csgE,P0AE95,0.15
csgD,P52106,0.2
csgA,P28307,0.67
csgC,P52107,0.69
ymdA,P75917,0.37
ymdB,P0A8D6,0.82
ymdC,P75919,0.22
mdoG,P33136,0.24
dgoA,Q6BF16,0.32
mdoH,P62517,0.04
msyB,P25738,0.91
lpxL,P0ACV0,0.12
yceI,P0A8X2,0.69
yceJ,P75925,0.11
miaB,P0AEI1,0.71
ygcI,Q46898,0.15
rluD,P33643,0.34
ydeW,P76141,0.19
yaaW,P75617,0.64
yeeZ,P0AD12,0.39
yfeU,P76535,0.63
yfgM,P76576,0.5
pbpC,P76577,0.09
nrdE,P39452,0.08
ypfI,P76562,0.06
mdlA,P77265,0.09
puuA,P78061,0.6
uxaC,P0A8G3,0.08
ycjX,P76046,0.05
hipA,P23874,0.04
yfcY,P76503,0.09
yciW,P76035,0.1
yphH,P76586,0.21
intQ,P76168,0.18
yceG,P28306,0.17
paaX,P76086,0.13
ysgA,P56262,0.91
yqeI,Q46942,0.15
yciT,P76034,0.37
yehC,P33342,0.44
srlE,P56580,0.18
ykgH,P77180,0.25
glcE,P52073,0.1
ybcY,P77460,0.24
ubiB,P0A6A0,0.18
ynjA,P76222,0.41
yfgC,P66948,0.11
yceQ,P62066,0.21
yecT,P76296,0.31
ybcS,P78285,0.77
ybfP,P75737,0.52
yzcX,P11291,0.27
rzpD,P75719,0.29
ygiT,Q46864,0.46
yegR,P76406,0.55
ybjM,P64439,0.53
yfgD,P76569,1.0
yafU,P77354,0.73
fhuE,P16869,0.01
mfd,P30958,0.67
ycgV,P76017,0.17
narG,P09152,0.3
adhE,P0A9Q7,0.46
acnA,P25516,0.41
recE,P15032,0.51
stfR,P76072,0.68
ydbK,P52647,0.17
ydbH,P52645,0.13
tynA,P46883,0.97
maoC,P77455,0.08
ydbD,P25907,0.28
yncD,P76115,0.03
rhsE,P24211,0.01
dos,P76129,0.11
pqqL,P31828,0.38
yddB,P31827,0.03
ydeP,P77561,0.08
ynfE,P77374,0.21
ynfF,P77783,0.1
ydhV,P76192,0.29
ydiJ,P77748,0.03
pps,P23538,0.49
pheT,P07395,0.8
katE,P21179,0.43
yebT,P76272,0.31
ptrB,P24555,0.02
torZ,P46923,0.33
flhA,P76298,0.14
flu,P39180,0.33
wzc,P76387,0.2
flgK,P33235,0.44
treA,P13482,0.7
dhaR,P76016,0.09
narX,P0AFA2,0.44
oppA,P23843,0.74
trpD,P00904,0.23
rnb,P30850,0.49
sapA,Q47622,0.31
ycjM,P76041,0.06
ynbC,P76092,0.13
trg,P05704,0.34
mdoD,P40120,0.61
ydcP,P76104,0.13
sfcA,P26616,0.09
ddpA,P76128,0.62
ydeN,P77318,0.57
ydeV,P77432,0.06
dcp,P24171,0.43
fumA,P0AC33,0.37
uidA,P05804,0.46
malX,P19642,0.06
ydhS,P77148,0.52
thrS,P0A8M3,0.23
sppA,P08395,0.14
yeaG,P0ACY3,0.52
fadD,P69451,0.37
yoaA,P76257,0.12
yoaD,P76261,0.13
edd,P0ADF6,0.45
aspS,P21889,0.82
argS,P11875,0.24
tap,P07018,0.05
tar,P07017,0.74
cheA,P07363,0.89
uvrC,P0A8G0,0.17
fliF,P25798,0.55
yedQ,P76330,0.12
yegH,P76389,0.17
asmA,P28249,0.7
solA,P40874,0.73
pyrC,P05020,0.04
flgE,P75937,1.06
flgI,P0A6S3,0.64
flgL,P29744,0.35
rluC,P0AA39,0.63
plsX,P27247,0.15
fabH,P0A6R0,0.92
fabF,P0AAI5,0.08
holB,P28631,0.38
ptsG,P69786,0.03
nagZ,P75949,0.12
ndh,P00393,0.36
ycfS,P75954,0.63
lolC,P0ADC3,0.3
lolE,P75958,0.2
potA,P69874,0.94
pepT,P29745,0.78
ycfD,P27431,0.81
phoQ,P23837,0.2
purB,P0AB89,0.74
trmU,P25745,0.68
icd,P08200,0.96
intE,P75969,0.24
ymfN,P75978,0.18
ycgF,P75990,0.2
umuC,P04152,0.03
ycgB,P29013,0.03
dadA,P0A6J5,0.12
dadX,P29012,0.03
dhaH,P37349,0.74
dhaK,P76015,0.75
ychF,P0ABU2,0.63
hemA,P0A6X1,0.23
ychP,P39165,0.07
narH,P11349,0.13
rssB,P0AEV1,0.79
oppD,P76027,0.18
oppF,P77737,0.18
cls,P0A6H8,0.04
trpB,P0A879,0.42
trpC,P00909,0.19
trpE,P00895,0.66
sohB,P0AG14,0.09
cysB,P0A9F3,0.08
yciM,P0AB58,0.09
sapD,P0AAH4,0.22
sapB,P0AGH3,0.09
puuC,P23883,0.15
puuB,P37906,0.12
puuE,P50457,0.42
pspF,P37344,0.37
ycjN,P76042,0.67
ycjQ,P76043,0.09
ycjS,P77503,0.13
ycjV,P77481,0.11
ycjW,P77615,0.85
ycjF,P0A8R7,0.11
tyrR,P07604,0.47
ycjG,P51981,0.2
mppA,P77348,0.32
ynaI,P0AEB5,0.15
uspE,P0AAC0,0.73
abgB,P76052,0.49
abgA,P77357,0.31
ydaM,P77302,0.26
ydaN,P64423,0.82
dbpA,P21693,0.13
intR,P76056,0.35
ynaA,P77658,0.7
ompN,P77747,0.1
ldhA,P52643,0.72
feaB,P80668,0.11
paaE,P76081,0.21
paaH,P76083,0.07
paaJ,P0C7L2,0.18
aldA,P25553,0.53
ydcI,P77171,0.12
ydcJ,P76097,0.16
ydcK,P76100,0.19
ydcM,P76102,0.57
ydcR,P77730,0.25
ydcS,P76108,0.16
ydcT,P77795,0.26
ydcW,P77674,0.2
yncE,P76116,0.65
ydcC,P28917,0.24
narY,P19318,0.14
adhP,P39451,0.87
ddpD,P77268,0.23
yddV,P0AA89,0.21
yddW,P64426,0.62
gadB,P69910,0.15
ydeM,P76134,0.07
ydeT,P76137,0.03
ydeU,P77286,0.04
ego,P77257,0.17
lsrB,P76142,0.76
uxaB,P0A6L7,0.8
yneI,P76149,0.56
yneK,P76150,0.25
ydfI,P77260,0.13
stfQ,P77515,0.12
rspB,P38105,0.95
rspA,P38104,0.04
clcB,P76175,0.39
dgsA,P50456,0.18
pntA,P07001,1.11
rstB,P18392,0.54
fumC,P05042,0.65
manA,P00946,0.66
ydgA,P77804,0.26
uidC,Q47706,0.04
malI,P18811,0.11
malY,P23256,0.18
add,P22333,0.15
tyrS,P0AGJ9,0.63
ydhH,P77570,0.56
nemA,P77258,0.82
cfa,P0A9H7,0.27
ydhQ,P77552,1.06
pykF,P0AD61,1.09
ynhG,P76193,0.23
sufS,P77444,0.11
sufD,P77689,0.37
sufB,P77522,0.43
ydiF,P37766,0.34
tolC,P02930,0.16
ydiS,P77337,0.44
aroH,P00887,0.12
ydiU,P77649,0.01
pheS,P08312,0.12
ydjN,P77529,0.09
chbF,P17411,0.24
chbC,P17334,0.05
astB,P76216,0.11
astD,P76217,0.54
astA,P0AE37,0.12
astC,P77581,0.29
ynjB,P76223,0.7
ynjE,P78067,0.41
gdhA,P00370,0.22
ynjI,P76228,0.05
selD,P16456,0.62
ansA,P0A962,0.86
ydjG,P77256,0.1
ydjH,P77493,0.63
ydjJ,P77280,0.77
ydjL,P77539,0.38
gapA,P0A9B2,0.73
yeaJ,P76237,0.16
yeaP,P76245,0.4
yeaU,P76251,0.11
yeaW,P0ABR7,1.08
yeaX,P76254,0.71
rnd,P09155,0.19
pabB,P05041,0.82
sdaA,P16095,0.71
yoaE,P0AEC0,0.11
manX,P69797,0.94
yebU,P76273,0.49
purT,P33221,0.47
zwf,P0AC53,0.67
pykA,P21599,0.44
lpxM,P24205,0.17
yebA,P0AFS9,0.34
znuA,P39172,0.85
ruvB,P0A812,0.31
yecP,P76291,0.04
torY,P52005,0.45
cheB,P07330,0.09
otsA,P31677,0.3
araG,P0AAF3,0.38
araF,P02924,0.87
yedO,P76316,0.1
fliC,P04949,0.8
fliD,P24216,0.94
amyA,P26612,0.69
fliG,P0ABZ1,0.81
fliI,P52612,0.13
fliK,P52614,0.97
fliM,P06974,0.58
dcm,P0AED9,0.43
